gender,city_category,occupation,stay_years,marital_status,purchase_amount,quantity,product_category,payment_method,age_group
F,A,16,4,0,1043.82,4,Casa,Cartao_Credito,51-55
F,B,18,3,1,896.61,5,Casa,PIX,55+
M,B,16,3,0,1627.63,4,Alimentos,Cartao_Credito,55+
F,B,17,1,0,837.49,2,Beleza,Cartao_Credito,55+
F,B,2,0,0,269.98,2,Casa,PIX,26-35
F,A,7,2,1,670.74,4,Alimentos,Cartao_Credito,46-50
M,B,15,3,1,617.86,1,Brinquedos,Boleto,51-55
M,B,12,1,1,1276.88,4,Alimentos,Cartao_Credito,55+
F,B,0,2,0,225.81,1,Beleza,PIX,18-25
M,B,11,4,1,563.84,2,Eletronicos,PIX,46-50
F,B,16,1,1,268.1,3,Roupas,Cartao_Debito,55+
M,B,17,1,0,548.69,1,Esportes,Cartao_Credito,46-50
F,A,8,1,1,354.66,4,Casa,Boleto,46-50
F,B,4,4,0,537.9,4,Roupas,Cartao_Debito,26-35
M,A,6,2,1,173.09,1,Alimentos,Cartao_Debito,36-45
M,B,6,4,1,649.33,5,Brinquedos,Cartao_Credito,46-50
F,B,7,4,1,456.52,4,Roupas,Cartao_Credito,46-50
F,A,6,2,0,442.0,5,Alimentos,Cartao_Credito,26-35
M,A,9,0,1,1300.02,4,Eletronicos,Cartao_Credito,55+
F,B,0,1,1,320.7,4,Beleza,PIX,26-35
F,B,5,2,0,495.4,2,Alimentos,Cartao_Credito,26-35
M,C,6,1,1,428.45,2,Esportes,Dinheiro,36-45
M,C,3,0,0,454.33,2,Esportes,Boleto,18-25
M,C,18,4,0,1530.09,2,Esportes,Boleto,55+
M,B,14,1,1,419.17,2,Casa,Dinheiro,55+
M,A,19,3,0,287.04,4,Eletronicos,PIX,55+
M,B,11,4,0,1239.6,3,Esportes,Cartao_Debito,46-50
F,B,2,2,0,335.42,3,Brinquedos,Cartao_Debito,0-17
M,B,18,3,1,153.99,4,Esportes,Cartao_Debito,51-55
F,B,9,0,0,258.65,4,Brinquedos,Dinheiro,46-50
M,A,14,3,0,190.96,5,Alimentos,PIX,46-50
M,A,8,4,1,137.01,2,Alimentos,PIX,51-55
F,A,10,4,0,324.47,2,Beleza,Cartao_Credito,36-45
F,A,10,0,1,386.79,1,Roupas,Cartao_Credito,55+
M,C,5,1,1,819.19,1,Esportes,Boleto,46-50
M,A,11,0,1,588.54,4,Esportes,Cartao_Credito,51-55
M,B,15,4,1,572.66,5,Alimentos,Cartao_Credito,55+
M,C,0,1,0,236.06,4,Alimentos,Dinheiro,0-17
M,B,2,2,0,686.06,5,Esportes,Cartao_Debito,18-25
M,B,17,2,0,929.59,4,Esportes,Cartao_Credito,55+
M,B,11,3,0,511.19,5,Eletronicos,Cartao_Credito,36-45
M,B,20,4,1,519.83,2,Casa,PIX,51-55
F,B,12,1,1,188.89,2,Alimentos,Boleto,55+
F,C,13,3,1,759.5,5,Beleza,Cartao_Debito,55+
M,C,18,1,0,1174.38,4,Esportes,Dinheiro,46-50
M,C,13,0,1,489.69,3,Alimentos,PIX,55+
M,C,6,0,1,282.42,5,Eletronicos,Dinheiro,46-50
M,B,11,1,1,366.06,4,Alimentos,PIX,51-55
F,C,4,2,1,313.48,2,Beleza,Dinheiro,46-50
F,B,7,3,1,324.97,4,Casa,PIX,46-50
F,B,14,4,0,595.14,2,Casa,Cartao_Credito,51-55
F,C,3,2,0,477.08,3,Roupas,Cartao_Debito,18-25
F,C,14,2,1,736.83,5,Casa,Dinheiro,55+
F,C,12,0,0,503.98,4,Casa,Cartao_Credito,46-50
M,B,6,4,0,240.22,1,Esportes,PIX,18-25
M,B,0,1,1,298.74,3,Alimentos,PIX,26-35
M,A,14,3,1,287.81,4,Alimentos,Cartao_Credito,55+
F,B,17,3,0,360.73,3,Casa,PIX,46-50
M,C,15,4,0,1184.21,2,Esportes,Cartao_Debito,51-55
F,C,8,4,1,1303.67,4,Roupas,Boleto,51-55
F,B,13,3,1,666.45,5,Roupas,Cartao_Credito,51-55
M,B,8,3,0,433.23,1,Casa,Cartao_Credito,26-35
M,B,7,0,1,178.22,4,Esportes,Cartao_Debito,46-50
M,A,6,0,0,460.36,5,Esportes,Cartao_Credito,26-35
M,A,4,2,1,251.14,3,Esportes,PIX,46-50
F,C,20,3,0,1073.11,2,Casa,Cartao_Credito,51-55
F,B,13,3,1,153.91,2,Casa,Cartao_Debito,55+
F,C,3,1,1,508.11,2,Brinquedos,Boleto,36-45
M,A,18,2,1,238.76,2,Alimentos,Cartao_Credito,55+
M,C,3,4,1,401.13,4,Esportes,PIX,36-45
M,B,12,0,0,601.63,1,Esportes,PIX,36-45
F,B,3,1,0,744.85,2,Beleza,Cartao_Debito,0-17
F,B,7,4,0,389.0,5,Roupas,Cartao_Debito,26-35
M,C,13,0,0,636.97,5,Casa,Boleto,36-45
F,C,20,1,0,271.11,2,Roupas,PIX,55+
M,B,20,2,0,467.46,3,Esportes,Cartao_Credito,55+
F,A,18,3,1,736.07,3,Beleza,Cartao_Credito,51-55
M,A,4,1,0,492.38,2,Casa,Boleto,18-25
M,C,1,3,0,293.65,1,Esportes,PIX,18-25
F,B,19,1,1,341.24,1,Roupas,Dinheiro,51-55
M,B,19,1,1,742.03,4,Eletronicos,Cartao_Credito,55+
M,B,5,2,0,209.54,1,Eletronicos,Cartao_Debito,0-17
M,B,0,0,1,228.93,4,Esportes,Dinheiro,36-45
M,C,13,3,0,578.8,1,Eletronicos,Boleto,46-50
F,C,1,3,1,309.98,1,Eletronicos,Cartao_Debito,26-35
F,C,0,4,0,168.71,1,Roupas,PIX,0-17
F,C,19,1,1,907.32,2,Casa,Dinheiro,51-55
M,C,10,1,1,208.56,2,Alimentos,PIX,51-55
M,B,2,4,0,357.93,2,Eletronicos,Cartao_Debito,0-17
M,C,13,0,1,278.19,2,Esportes,PIX,51-55
M,A,7,2,0,337.44,5,Esportes,Boleto,18-25
M,B,11,2,1,237.28,3,Casa,Cartao_Debito,51-55
F,C,18,2,0,619.29,5,Beleza,Cartao_Credito,55+
F,B,4,2,1,431.17,2,Beleza,Cartao_Debito,26-35
F,A,13,3,1,727.92,3,Beleza,Cartao_Credito,55+
M,B,17,0,1,279.92,1,Eletronicos,PIX,55+
M,B,8,4,0,1450.72,2,Esportes,Cartao_Credito,18-25
M,C,20,4,0,128.66,1,Alimentos,Dinheiro,51-55
M,B,9,0,0,155.85,1,Eletronicos,PIX,26-35
M,A,9,4,1,1154.99,1,Esportes,Cartao_Credito,36-45
M,B,18,1,1,536.16,1,Casa,PIX,55+
M,B,13,0,1,495.14,2,Esportes,Cartao_Debito,55+
F,A,18,1,1,522.57,4,Alimentos,Cartao_Credito,55+
M,B,16,3,0,568.34,1,Alimentos,Cartao_Credito,51-55
F,B,14,4,1,482.92,4,Roupas,PIX,51-55
M,A,5,3,1,225.98,2,Esportes,Dinheiro,46-50
F,B,8,4,1,659.13,3,Roupas,Cartao_Debito,51-55
M,B,18,1,1,599.69,5,Esportes,PIX,51-55
M,C,12,4,1,950.57,3,Esportes,Cartao_Credito,51-55
M,B,5,3,1,1162.75,2,Eletronicos,Boleto,36-45
M,A,6,0,1,491.91,2,Alimentos,Cartao_Credito,51-55
F,C,16,0,0,193.15,1,Beleza,PIX,51-55
M,B,3,1,1,1168.54,5,Esportes,Cartao_Credito,46-50
F,A,2,0,0,219.01,4,Roupas,Cartao_Credito,26-35
M,C,16,1,1,494.12,2,Roupas,PIX,55+
M,A,6,4,1,345.83,3,Eletronicos,Cartao_Credito,46-50
M,C,16,1,1,311.57,3,Esportes,Dinheiro,55+
M,C,11,3,0,638.15,1,Eletronicos,Dinheiro,26-35
F,C,20,4,0,467.16,5,Roupas,Dinheiro,55+
F,C,11,1,0,548.92,4,Casa,Cartao_Debito,36-45
F,A,18,3,1,247.3,3,Beleza,Cartao_Debito,55+
M,C,17,2,0,363.42,4,Casa,Dinheiro,51-55
M,B,4,1,1,254.24,1,Esportes,PIX,26-35
F,B,20,4,0,358.01,5,Roupas,Cartao_Debito,55+
M,B,15,3,1,375.68,4,Alimentos,Cartao_Credito,51-55
M,A,2,2,1,1219.97,5,Beleza,Cartao_Credito,26-35
M,A,0,4,1,345.28,5,Esportes,Cartao_Credito,26-35
F,A,5,4,1,112.69,3,Beleza,PIX,26-35
F,A,0,3,0,931.74,2,Roupas,Cartao_Debito,26-35
F,A,7,4,1,528.24,4,Casa,Boleto,46-50
F,C,20,1,0,372.93,3,Eletronicos,PIX,55+
M,B,10,1,0,310.34,3,Roupas,PIX,36-45
F,C,0,1,0,228.57,4,Brinquedos,Dinheiro,0-17
M,C,10,3,0,1290.56,5,Alimentos,Cartao_Credito,36-45
F,C,4,4,1,416.18,1,Beleza,PIX,36-45
M,B,17,3,0,142.22,3,Eletronicos,PIX,51-55
F,C,1,2,1,491.1,4,Beleza,Cartao_Debito,26-35
M,C,16,3,0,831.89,2,Esportes,Cartao_Credito,46-50
M,C,9,0,1,443.13,2,Esportes,PIX,46-50
M,C,0,1,1,234.87,1,Eletronicos,Dinheiro,18-25
M,B,14,3,0,222.6,2,Esportes,PIX,46-50
M,B,9,0,0,232.67,3,Esportes,Cartao_Debito,36-45
F,C,16,4,0,1005.25,5,Roupas,Cartao_Credito,36-45
M,B,12,0,0,386.45,3,Esportes,Dinheiro,36-45
F,C,16,3,0,147.34,2,Beleza,Boleto,51-55
M,A,9,3,1,508.0,5,Casa,Dinheiro,46-50
F,A,0,4,0,439.05,1,Roupas,PIX,18-25
M,B,2,3,1,308.17,1,Casa,Cartao_Debito,36-45
F,A,9,2,0,218.71,3,Casa,Cartao_Credito,36-45
F,C,8,3,0,213.08,5,Beleza,PIX,26-35
M,A,16,1,1,774.32,2,Esportes,Cartao_Credito,55+
F,C,8,2,1,468.02,1,Roupas,Dinheiro,36-45
M,A,18,4,1,537.64,4,Alimentos,Cartao_Credito,55+
M,C,3,0,1,467.25,3,Alimentos,Boleto,36-45
F,B,8,1,0,491.08,4,Casa,Cartao_Debito,26-35
F,A,15,0,1,304.59,2,Beleza,PIX,55+
M,A,2,2,0,356.56,1,Esportes,Dinheiro,18-25
M,B,6,3,1,811.55,2,Casa,Cartao_Credito,46-50
F,C,15,0,1,942.71,3,Casa,Dinheiro,51-55
F,C,12,2,0,193.78,3,Beleza,Dinheiro,51-55
F,B,16,2,1,356.04,5,Casa,Dinheiro,51-55
M,B,10,3,0,667.52,2,Alimentos,PIX,51-55
F,A,18,1,0,1247.94,2,Beleza,Cartao_Credito,51-55
M,B,18,0,0,1175.18,1,Esportes,Cartao_Credito,55+
F,B,20,0,0,250.27,3,Alimentos,Dinheiro,55+
M,A,2,2,1,866.99,5,Roupas,Cartao_Credito,26-35
F,B,12,2,0,417.87,5,Alimentos,PIX,46-50
M,C,2,4,1,754.95,2,Esportes,Cartao_Debito,18-25
F,A,4,2,0,647.4,3,Casa,Cartao_Credito,0-17
F,A,6,0,1,188.98,4,Eletronicos,PIX,36-45
M,A,13,3,1,561.15,1,Casa,Boleto,55+
F,A,9,0,1,737.61,4,Casa,Cartao_Credito,26-35
M,A,18,1,0,398.58,1,Esportes,Cartao_Credito,51-55
F,B,6,3,0,348.0,1,Beleza,Cartao_Credito,36-45
M,A,12,1,0,157.12,1,Eletronicos,PIX,51-55
M,C,16,2,0,608.0,5,Casa,Cartao_Credito,46-50
M,C,20,2,0,457.26,4,Alimentos,Dinheiro,55+
M,C,5,4,0,231.99,4,Alimentos,Cartao_Debito,18-25
M,B,15,1,1,331.79,4,Eletronicos,Cartao_Credito,51-55
F,A,1,4,0,442.62,4,Beleza,Cartao_Credito,26-35
F,A,11,3,1,288.54,3,Beleza,Cartao_Credito,55+
F,A,8,3,1,404.08,5,Beleza,PIX,46-50
M,C,20,0,1,141.18,1,Casa,Boleto,51-55
M,C,16,0,1,906.56,3,Esportes,Dinheiro,51-55
M,B,19,3,1,407.3,4,Esportes,Dinheiro,55+
F,B,17,2,0,208.59,5,Alimentos,Cartao_Debito,46-50
F,B,8,1,0,92.22,2,Eletronicos,Dinheiro,26-35
M,A,15,4,1,748.06,1,Roupas,Cartao_Credito,55+
F,C,0,1,0,563.89,4,Roupas,Dinheiro,0-17
M,A,11,2,0,457.79,1,Esportes,Cartao_Debito,46-50
M,B,0,3,0,677.35,4,Esportes,Cartao_Credito,18-25
M,B,15,4,1,676.23,4,Esportes,Cartao_Credito,55+
M,A,20,4,0,453.35,4,Alimentos,Cartao_Credito,55+
F,B,14,3,0,346.36,2,Roupas,Cartao_Debito,51-55
F,C,17,0,1,314.1,1,Casa,PIX,51-55
M,A,4,0,1,519.34,4,Eletronicos,Boleto,46-50
M,B,20,3,1,932.83,2,Esportes,Cartao_Credito,46-50
F,B,11,2,0,379.27,2,Casa,PIX,51-55
F,A,14,0,1,978.37,1,Roupas,Cartao_Credito,51-55
F,A,16,3,0,504.66,2,Casa,Cartao_Credito,51-55
M,A,13,4,1,506.95,5,Esportes,Cartao_Credito,46-50
F,A,6,0,1,1707.98,5,Alimentos,Cartao_Credito,46-50
M,B,12,4,0,1087.47,2,Eletronicos,Cartao_Credito,46-50
F,C,13,1,0,1104.52,1,Beleza,Cartao_Credito,26-35
M,C,18,1,0,249.99,1,Eletronicos,Cartao_Debito,55+
F,C,10,3,0,1503.14,1,Beleza,Cartao_Credito,26-35
M,B,10,1,1,384.01,1,Brinquedos,Dinheiro,51-55
M,C,10,0,0,351.96,4,Roupas,Dinheiro,36-45
F,B,2,4,1,110.44,4,Casa,Cartao_Debito,36-45
F,A,1,1,1,490.67,4,Eletronicos,Cartao_Debito,36-45
M,B,0,0,0,210.61,2,Roupas,Boleto,0-17
F,B,13,3,0,515.4,5,Alimentos,Cartao_Credito,46-50
F,C,8,1,0,200.95,1,Roupas,Cartao_Debito,46-50
M,B,18,3,1,1186.33,2,Eletronicos,Cartao_Credito,55+
M,A,14,0,0,561.69,5,Esportes,Cartao_Credito,46-50
M,C,2,2,1,1584.34,5,Esportes,Dinheiro,26-35
F,A,2,2,0,218.37,3,Brinquedos,Dinheiro,0-17
M,C,7,4,1,1021.99,4,Esportes,Cartao_Debito,46-50
M,C,19,2,0,136.78,4,Alimentos,PIX,51-55
F,C,1,4,0,457.07,5,Roupas,Dinheiro,18-25
F,C,3,1,0,276.17,2,Beleza,PIX,18-25
F,A,0,2,1,308.35,1,Beleza,Cartao_Credito,26-35
F,B,8,4,0,295.92,1,Casa,Cartao_Debito,18-25
F,C,20,0,0,233.03,2,Esportes,Dinheiro,36-45
F,C,14,4,1,189.46,2,Alimentos,Dinheiro,55+
F,A,10,3,1,309.37,3,Casa,PIX,51-55
M,A,3,3,0,432.52,1,Esportes,PIX,26-35
M,B,7,1,0,810.96,3,Eletronicos,Cartao_Credito,26-35
M,B,11,4,0,481.65,4,Esportes,Cartao_Debito,36-45
F,B,5,4,1,812.34,1,Casa,PIX,46-50
M,C,14,1,0,166.18,2,Esportes,Boleto,51-55
M,C,20,2,1,311.13,3,Esportes,PIX,51-55
F,B,4,0,0,618.07,1,Eletronicos,Cartao_Credito,26-35
M,A,5,1,0,495.67,4,Esportes,Boleto,18-25
M,B,2,0,0,240.64,4,Casa,PIX,0-17
F,B,15,2,0,706.58,2,Casa,Cartao_Credito,36-45
F,A,9,2,1,293.31,1,Roupas,Cartao_Credito,51-55
M,A,5,2,0,253.05,3,Esportes,Cartao_Credito,26-35
M,B,4,3,0,540.32,5,Esportes,Cartao_Debito,18-25
M,A,1,4,1,404.92,2,Eletronicos,Cartao_Debito,36-45
F,B,9,0,0,294.79,5,Beleza,Cartao_Debito,36-45
F,A,14,1,0,288.84,5,Beleza,Cartao_Credito,46-50
M,A,4,1,1,212.33,2,Eletronicos,PIX,26-35
F,A,0,4,1,318.16,3,Esportes,Cartao_Credito,18-25
M,B,9,0,1,780.56,1,Eletronicos,Cartao_Credito,46-50
M,B,14,0,1,467.19,3,Esportes,Cartao_Credito,55+
F,B,7,0,0,717.06,5,Alimentos,PIX,36-45
M,A,5,3,1,549.85,5,Esportes,Boleto,26-35
M,C,3,2,1,279.4,1,Casa,PIX,36-45
M,B,15,4,0,149.98,4,Casa,PIX,46-50
F,B,18,1,1,231.34,1,Beleza,Dinheiro,46-50
F,B,16,1,0,269.69,2,Beleza,Cartao_Credito,46-50
F,C,10,2,0,257.46,5,Alimentos,Boleto,26-35
M,C,15,0,0,726.77,4,Esportes,Cartao_Debito,46-50
M,B,8,4,1,722.24,2,Esportes,Cartao_Debito,46-50
F,B,0,4,1,1521.01,5,Eletronicos,Cartao_Debito,26-35
M,A,7,0,0,255.13,4,Eletronicos,Cartao_Credito,26-35
F,B,14,4,0,1052.02,1,Roupas,PIX,46-50
F,B,13,2,1,1048.13,1,Roupas,Cartao_Debito,51-55
M,A,20,1,0,350.95,4,Esportes,Cartao_Credito,55+
F,C,20,4,0,536.0,5,Casa,PIX,55+
M,C,5,2,0,849.32,1,Alimentos,Boleto,36-45
M,A,0,1,1,389.41,3,Eletronicos,Dinheiro,18-25
F,C,5,4,1,371.73,5,Beleza,Dinheiro,36-45
M,B,18,3,0,276.88,5,Eletronicos,Cartao_Debito,51-55
F,B,17,0,1,97.9,4,Roupas,PIX,51-55
F,C,2,3,1,420.85,5,Beleza,Cartao_Debito,26-35
F,B,3,3,0,263.51,5,Roupas,Dinheiro,26-35
F,B,11,1,1,211.62,5,Beleza,Dinheiro,55+
M,B,13,2,0,519.73,4,Casa,Boleto,46-50
M,A,20,4,0,168.88,5,Esportes,Cartao_Credito,51-55
F,B,15,0,0,654.35,1,Roupas,Boleto,51-55
F,B,4,3,1,539.24,1,Roupas,Boleto,26-35
M,B,0,4,0,317.31,3,Brinquedos,PIX,0-17
M,A,13,4,0,388.39,4,Alimentos,Dinheiro,51-55
M,A,11,1,1,197.53,5,Esportes,PIX,51-55
M,C,19,1,1,632.83,4,Casa,Cartao_Credito,55+
F,A,12,4,0,451.43,2,Beleza,Cartao_Credito,36-45
M,B,10,2,0,472.06,5,Eletronicos,Cartao_Credito,26-35
F,C,6,2,1,545.19,1,Beleza,Cartao_Credito,51-55
F,C,1,2,1,274.39,1,Brinquedos,Dinheiro,18-25
F,A,18,2,1,162.16,4,Roupas,Cartao_Debito,51-55
M,C,17,3,1,716.51,5,Eletronicos,Cartao_Credito,55+
M,C,3,2,1,609.86,3,Esportes,Cartao_Credito,26-35
F,B,14,1,0,292.59,1,Beleza,PIX,36-45
F,C,7,2,0,515.67,1,Beleza,Boleto,18-25
M,C,9,3,1,858.15,5,Alimentos,Cartao_Debito,46-50
F,B,17,4,1,798.89,2,Beleza,PIX,55+
M,B,17,2,0,287.51,4,Casa,Boleto,55+
F,C,4,3,0,165.13,2,Esportes,Dinheiro,18-25
M,C,6,2,1,183.03,2,Esportes,Dinheiro,51-55
M,B,17,3,0,334.61,4,Esportes,PIX,51-55
M,C,19,1,0,970.09,4,Esportes,Boleto,51-55
M,C,1,2,1,260.59,3,Esportes,PIX,36-45
M,C,17,0,0,282.08,3,Eletronicos,Dinheiro,55+
M,C,10,1,0,278.62,3,Esportes,PIX,36-45
M,A,12,3,0,293.23,3,Roupas,Cartao_Credito,36-45
F,A,1,0,0,400.72,5,Roupas,PIX,18-25
M,B,14,1,1,187.16,4,Casa,Dinheiro,51-55
F,B,14,3,0,773.26,2,Roupas,PIX,46-50
F,B,13,4,0,369.85,2,Casa,Boleto,46-50
M,C,16,2,0,1785.55,4,Alimentos,Dinheiro,55+
M,C,19,2,0,199.51,4,Eletronicos,PIX,55+
F,B,17,2,1,1047.25,2,Casa,Boleto,55+
F,C,15,3,0,929.65,5,Casa,Cartao_Credito,55+
M,A,20,2,1,315.13,3,Esportes,Cartao_Credito,51-55
F,B,14,0,0,318.29,2,Alimentos,Cartao_Debito,51-55
M,A,14,2,1,232.11,3,Esportes,PIX,51-55
M,B,11,1,0,233.72,1,Esportes,PIX,46-50
F,B,16,3,0,403.28,4,Alimentos,Dinheiro,51-55
M,C,1,0,0,408.47,5,Roupas,Cartao_Credito,0-17
F,B,10,3,0,154.25,5,Alimentos,Dinheiro,36-45
M,B,8,0,0,1597.35,3,Alimentos,Cartao_Debito,36-45
F,A,19,4,0,345.26,2,Roupas,Boleto,51-55
M,A,1,3,0,419.63,3,Esportes,Cartao_Credito,0-17
M,C,13,0,1,277.07,1,Eletronicos,Dinheiro,46-50
M,C,3,4,1,343.71,4,Esportes,Dinheiro,36-45
M,B,18,2,1,325.47,3,Eletronicos,Cartao_Debito,55+
F,A,17,3,0,402.72,1,Beleza,Cartao_Credito,51-55
M,B,4,0,1,399.91,3,Roupas,Cartao_Credito,26-35
M,B,18,0,1,653.88,4,Esportes,Cartao_Credito,55+
M,B,10,4,1,462.35,2,Esportes,Cartao_Debito,46-50
M,A,20,2,0,615.58,3,Eletronicos,Cartao_Credito,51-55
F,B,15,3,1,401.06,5,Roupas,PIX,55+
M,A,0,4,1,463.47,4,Brinquedos,PIX,26-35
F,B,4,2,0,349.05,4,Roupas,Cartao_Credito,36-45
M,A,8,1,1,736.47,3,Eletronicos,Cartao_Credito,46-50
F,B,4,4,1,489.59,3,Esportes,PIX,26-35
M,B,2,0,1,366.92,3,Esportes,PIX,36-45
M,A,20,2,1,360.41,3,Eletronicos,PIX,51-55
F,B,18,4,1,377.83,1,Alimentos,PIX,55+
F,B,9,1,1,410.87,1,Roupas,Boleto,46-50
F,C,4,1,1,390.01,5,Beleza,Boleto,46-50
M,C,3,2,0,288.5,3,Eletronicos,Dinheiro,26-35
M,A,19,0,1,638.38,3,Casa,Cartao_Credito,55+
F,C,6,0,1,663.05,3,Roupas,Cartao_Credito,26-35
M,C,0,1,1,1176.52,3,Esportes,PIX,36-45
F,B,8,4,0,280.85,5,Roupas,PIX,36-45
F,B,9,1,0,601.76,3,Beleza,Cartao_Credito,26-35
F,B,13,3,1,128.32,3,Casa,Cartao_Debito,51-55
F,A,7,2,1,663.43,3,Beleza,Dinheiro,46-50
F,C,19,3,1,168.35,1,Roupas,Cartao_Debito,55+
M,B,13,1,0,223.5,1,Esportes,Dinheiro,51-55
M,B,20,4,1,492.42,1,Esportes,Boleto,55+
F,B,7,1,1,277.86,2,Roupas,PIX,46-50
M,A,13,3,0,255.95,1,Roupas,Cartao_Credito,36-45
M,A,7,4,0,301.6,2,Esportes,Dinheiro,26-35
M,B,14,2,0,625.01,5,Alimentos,Cartao_Debito,51-55
F,B,15,3,1,230.5,2,Beleza,PIX,55+
F,C,6,0,1,390.53,4,Beleza,Dinheiro,46-50
F,B,19,2,1,321.44,2,Casa,Cartao_Credito,55+
M,B,18,1,1,659.8,5,Casa,Cartao_Debito,51-55
M,C,18,4,0,670.99,4,Casa,Boleto,55+
M,A,4,4,1,134.13,5,Beleza,PIX,26-35
M,B,15,3,0,755.26,2,Alimentos,Boleto,55+
F,C,2,4,0,279.65,1,Beleza,PIX,26-35
F,A,2,4,0,464.88,2,Alimentos,PIX,26-35
M,A,20,3,1,229.67,4,Esportes,Dinheiro,55+
M,A,3,2,1,504.05,4,Eletronicos,Cartao_Credito,36-45
M,A,18,1,1,1864.61,4,Alimentos,PIX,55+
F,B,9,4,1,435.41,5,Roupas,Boleto,51-55
F,A,6,0,0,306.15,2,Eletronicos,Cartao_Debito,18-25
M,B,1,0,1,350.97,3,Casa,Dinheiro,36-45
F,A,14,4,0,167.1,3,Beleza,Cartao_Credito,36-45
M,A,15,0,1,962.35,1,Casa,Cartao_Credito,55+
M,B,9,0,1,486.74,4,Casa,Cartao_Credito,51-55
F,A,17,2,1,215.0,1,Alimentos,PIX,55+
M,C,6,2,0,219.25,5,Esportes,Cartao_Debito,26-35
M,B,11,0,1,407.15,1,Alimentos,Cartao_Credito,51-55
F,A,6,1,1,705.7,1,Casa,Boleto,51-55
M,A,12,1,0,202.23,1,Casa,PIX,36-45
F,B,2,1,1,786.86,5,Roupas,PIX,26-35
M,B,9,0,1,381.85,5,Casa,Cartao_Credito,36-45
M,C,11,3,0,230.87,5,Eletronicos,Cartao_Debito,36-45
M,B,11,2,0,304.72,5,Brinquedos,Dinheiro,46-50
M,B,9,4,0,1151.86,5,Esportes,Cartao_Credito,36-45
M,B,13,0,1,175.4,3,Casa,PIX,46-50
M,C,10,3,1,260.05,1,Roupas,Boleto,36-45
F,B,5,4,1,714.48,3,Beleza,Cartao_Credito,46-50
M,A,4,2,1,459.38,2,Brinquedos,Cartao_Credito,36-45
M,C,13,3,1,250.95,2,Esportes,Dinheiro,51-55
M,C,19,2,1,719.73,4,Esportes,Cartao_Credito,51-55
M,B,15,2,0,740.54,1,Esportes,Cartao_Debito,46-50
M,C,13,4,1,492.18,2,Esportes,PIX,55+
F,C,19,2,0,279.38,2,Casa,PIX,55+
M,A,18,2,1,306.44,1,Esportes,PIX,55+
F,C,10,4,0,478.57,4,Beleza,PIX,36-45
F,B,2,2,1,183.62,4,Roupas,PIX,36-45
M,B,13,0,1,894.86,3,Alimentos,Boleto,51-55
M,B,13,3,1,1118.93,1,Eletronicos,PIX,51-55
M,C,5,3,0,350.17,4,Beleza,PIX,18-25
F,B,17,1,1,499.53,3,Roupas,Boleto,55+
M,B,18,3,1,821.79,2,Brinquedos,PIX,55+
F,A,6,0,0,1304.19,5,Casa,Cartao_Credito,26-35
F,B,10,1,1,1026.79,5,Alimentos,Cartao_Credito,51-55
F,C,4,4,0,142.41,3,Beleza,PIX,0-17
M,C,3,3,0,333.84,3,Eletronicos,Cartao_Credito,18-25
F,A,5,3,1,544.8,5,Casa,Cartao_Credito,46-50
M,C,7,3,1,299.91,1,Alimentos,PIX,55+
M,C,5,0,0,1175.75,3,Brinquedos,Boleto,18-25
M,B,3,4,1,1072.37,3,Esportes,Cartao_Credito,36-45
F,A,9,1,1,247.26,2,Casa,Cartao_Credito,55+
F,B,13,3,1,365.97,2,Alimentos,Boleto,55+
F,A,6,4,1,257.31,1,Beleza,PIX,46-50
M,B,11,1,1,358.86,2,Esportes,Cartao_Credito,51-55
F,B,5,3,0,352.39,2,Roupas,Cartao_Credito,18-25
M,C,14,0,0,715.19,5,Casa,PIX,46-50
M,B,13,3,0,236.73,2,Esportes,PIX,36-45
F,C,20,2,1,83.93,1,Casa,Dinheiro,55+
M,C,1,0,1,154.05,5,Casa,Dinheiro,36-45
M,A,17,3,1,217.68,2,Alimentos,PIX,55+
F,A,7,4,0,272.21,5,Roupas,Dinheiro,18-25
M,C,1,0,1,451.38,1,Brinquedos,Dinheiro,26-35
M,C,14,4,1,211.06,1,Esportes,Dinheiro,55+
M,B,3,4,1,195.07,5,Esportes,Cartao_Debito,26-35
M,B,3,2,1,230.98,1,Esportes,PIX,26-35
F,B,20,4,0,206.56,1,Beleza,PIX,51-55
F,C,4,1,0,289.25,4,Brinquedos,PIX,0-17
M,C,11,3,1,281.92,2,Esportes,PIX,46-50
M,A,4,3,1,609.98,3,Esportes,Cartao_Credito,36-45
M,A,2,2,1,222.8,3,Esportes,Cartao_Debito,36-45
F,A,0,4,1,325.53,2,Roupas,Cartao_Debito,0-17
F,C,0,4,1,290.9,3,Roupas,PIX,26-35
F,C,9,3,0,655.46,2,Eletronicos,Boleto,36-45
M,C,9,2,1,367.76,2,Esportes,PIX,51-55
M,A,0,4,0,757.8,2,Esportes,Cartao_Debito,0-17
M,B,7,2,0,202.06,1,Esportes,PIX,0-17
F,A,5,3,0,391.65,3,Brinquedos,Cartao_Credito,0-17
M,B,11,0,1,285.56,3,Esportes,Dinheiro,51-55
F,A,20,1,1,193.32,1,Alimentos,Dinheiro,55+
F,C,14,4,1,387.41,3,Casa,Dinheiro,55+
M,A,19,2,0,1141.11,4,Brinquedos,Boleto,51-55
M,B,4,2,1,241.83,1,Eletronicos,PIX,51-55
M,C,4,4,0,373.73,2,Esportes,Boleto,26-35
